panel,gene,reason
PL,ACTL6A,kept
PL,ACTL6B,kept
PL,ARID1A,kept
PL,ARID4A,kept
PL,ARID4B,kept
PL,BCL7A,kept
PL,BCL7B,kept
PL,BCL7C,kept
PL,BICRA,kept
PL,BICRAL,kept
PL,BRD9,kept
PL,BRMS1,kept
PL,BRMS1L,kept
PL,CITED1,kept
PL,CXCL5,kept
PL,CYP26C1,kept
PL,DNMT3B,kept
PL,DPF2,kept
PL,DPPA3,kept
PL,DPPA4,kept
PL,DPPA5,kept
PL,EPCAM,kept
PL,ESRRB,kept
PL,FAM172A,kept
PL,FERMT2,kept
PL,FGF2,kept
PL,FOXC1,below_1pct (185/19288 cells)
PL,GJA1,kept
PL,GSK3B,kept
PL,HDAC1,kept
PL,HDAC2,kept
PL,HES1,kept
PL,HES5,below_1pct (61/19288 cells)
PL,HESX1,kept
PL,HMGA2,kept
PL,HNRNPU,kept
PL,HOXB4,below_1pct (0/19288 cells)
PL,IDO1,kept
PL,ING1,kept
PL,ING2,kept
PL,JAG1,kept
PL,KAT7,kept
PL,KBTBD8,kept
PL,KDM1A,kept
PL,KLF4,kept
PL,KLHL12,kept
PL,L1TD1,kept
PL,LCK,kept
PL,LEFTY1,below_1pct (34/19288 cells)
PL,LEFTY2,below_1pct (49/19288 cells)
PL,LIN28A,kept
PL,LIN28B,kept
PL,LOXL2,kept
PL,LTBP2,below_1pct (130/19288 cells)
PL,MTCH2,kept
PL,MYC,kept
PL,N4BP2L2,kept
PL,NANOG,kept
PL,NCOA3,kept
PL,NELFB,kept
PL,NKX2-5,below_1pct (17/19288 cells)
PL,NODAL,kept
PL,NOLC1,kept
PL,NOTCH1,kept
PL,NRG1,kept
PL,NUDT21,kept
PL,OGT,kept
PL,PDCD2,kept
PL,PDCD6,kept
PL,PEF1,kept
PL,PHF10,kept
PL,POU5F1,kept
PL,PTN,kept
PL,PTPRC,below_1pct (1/19288 cells)
PL,RBBP4,kept
PL,RBBP7,kept
PL,RBM24,kept
PL,REST,kept
PL,SAP30,kept
PL,SAP30L,kept
PL,SF3B3,kept
PL,SHH,below_1pct (3/19288 cells)
PL,SIN3A,kept
PL,SINHCAF,kept
PL,SIRT6,kept
PL,SMARCA2,kept
PL,SMARCA4,kept
PL,SMARCB1,kept
PL,SMARCC1,kept
PL,SMARCD1,kept
PL,SMARCE1,kept
PL,SNAI2,below_1pct (28/19288 cells)
PL,SOX11,kept
PL,SOX2,kept
PL,SOX5,kept
PL,SOX6,kept
PL,SOX8,kept
PL,SOX9,kept
PL,SP7,below_1pct (50/19288 cells)
PL,SS18,kept
PL,SUDS3,kept
PL,TACSTD2,below_1pct (126/19288 cells)
PL,TAPT1,kept
PL,TBX5,below_1pct (5/19288 cells)
PL,TCF15,kept
PL,TCOF1,kept
PL,TDGF1,kept
PL,TERT,kept
PL,TET1,kept
PL,TGFB2,kept
PL,THPO,kept
PL,TRIM22,kept
PL,UTF1,kept
PL,WNT7A,below_1pct (6/19288 cells)
PL,WNT9B,below_1pct (38/19288 cells)
PL,YTHDF2,kept
PL,ZFP36L2,kept
PL,ZFP42,kept
PL,ZNF706,kept
EC,ARL13B,kept
EC,BCL10,kept
EC,CDH2,kept
EC,CDH9,kept
EC,CELSR1,kept
EC,COBL,kept
EC,COL2A1,kept
EC,CORO1C,kept
EC,CSRP3,below_1pct (0/19288 cells)
EC,CYP26C1,kept
EC,DACT1,below_1pct (113/19288 cells)
EC,DEAF1,kept
EC,DMBX1,kept
EC,DRD4,kept
EC,DVL1,kept
EC,DVL2,kept
EC,DYNLL1,kept
EC,EDA2R,kept
EC,EN1,below_1pct (11/19288 cells)
EC,ERBB4,kept
EC,FAM172A,kept
EC,FBXL17,kept
EC,FUZ,kept
EC,GDNF,below_1pct (55/19288 cells)
EC,GRHL2,kept
EC,GRHL3,kept
EC,HES5,below_1pct (61/19288 cells)
EC,HTR2B,below_1pct (65/19288 cells)
EC,IFT122,kept
EC,INTU,kept
EC,ITGA6,kept
EC,ITGAM,below_1pct (17/19288 cells)
EC,KBTBD8,kept
EC,KLHL12,kept
EC,KRT6B,missing
EC,LHX1,kept
EC,LMX1A,kept
EC,LRP2,kept
EC,LRP6,kept
EC,MAP2,kept
EC,MEF2C,kept
EC,MTHFD1,kept
EC,MTHFD1L,kept
EC,MTHFR,kept
EC,MYO3B,kept
EC,NELL1,below_1pct (171/19288 cells)
EC,NOLC1,kept
EC,NOS2,kept
EC,NR2F1,below_1pct (4/19288 cells)
EC,NR2F2,below_1pct (70/19288 cells)
EC,NRG1,kept
EC,NRTN,kept
EC,OLFM3,kept
EC,OTUD5,kept
EC,PAPLN,kept
EC,PAX2,below_1pct (36/19288 cells)
EC,PAX3,below_1pct (31/19288 cells)
EC,PAX6,kept
EC,PDCD6,kept
EC,PEF1,kept
EC,PHACTR4,kept
EC,PKD1,kept
EC,PKD2,kept
EC,PLXNB2,kept
EC,POU4F1,below_1pct (135/19288 cells)
EC,PRICKLE1,kept
EC,PROX1,kept
EC,PTCH1,kept
EC,RADIL,kept
EC,SCRIB,kept
EC,SDC2,kept
EC,SEMA3A,kept
EC,SEMA3B,kept
EC,SEMA3C,kept
EC,SEMA3D,kept
EC,SEMA3E,kept
EC,SEMA3F,kept
EC,SEMA3G,kept
EC,SEMA4A,kept
EC,SEMA4B,kept
EC,SEMA4C,kept
EC,SEMA4D,kept
EC,SEMA4F,kept
EC,SEMA4G,kept
EC,SEMA5A,kept
EC,SEMA5B,kept
EC,SEMA6A,kept
EC,SEMA6B,kept
EC,SEMA6C,kept
EC,SEMA6D,kept
EC,SEMA7A,kept
EC,SHH,below_1pct (3/19288 cells)
EC,SKI,kept
EC,SLC39A12,below_1pct (14/19288 cells)
EC,SMURF1,kept
EC,SNAI2,below_1pct (28/19288 cells)
EC,SOX1,below_1pct (101/19288 cells)
EC,SOX10,kept
EC,SOX8,kept
EC,STIL,kept
EC,STX2,kept
EC,TAPT1,kept
EC,TBX1,kept
EC,TCOF1,kept
EC,TGFB1,kept
EC,TGFB2,kept
EC,TRIM71,kept
EC,TRPM8,below_1pct (115/19288 cells)
EC,TSC2,kept
EC,VANGL2,kept
EC,VASP,kept
EC,VAX2,below_1pct (18/19288 cells)
EC,WDPCP,kept
EC,WNT1,below_1pct (8/19288 cells)
EC,WNT8A,below_1pct (56/19288 cells)
EC,ZBTB16,below_1pct (114/19288 cells)
EC,ZBTB7B,kept
EC,ZNF358,kept
ME,ABCA4,below_1pct (27/19288 cells)
ME,ACVRL1,below_1pct (24/19288 cells)
ME,ADAP2,kept
ME,AKAP13,kept
ME,ALOX15,kept
ME,ALPK2,below_1pct (172/19288 cells)
ME,ALPK3,kept
ME,APELA,kept
ME,APLN,below_1pct (54/19288 cells)
ME,APLNR,below_1pct (14/19288 cells)
ME,BCOR,kept
ME,BMP10,below_1pct (1/19288 cells)
ME,BMP2,kept
ME,BMP4,kept
ME,BMP5,below_1pct (85/19288 cells)
ME,BMP7,kept
ME,BMPR2,kept
ME,BORCS8,kept
ME,BORCS8-MEF2B,missing
ME,BTK,below_1pct (127/19288 cells)
ME,BVES,kept
ME,CACNA1C,kept
ME,CACYBP,kept
ME,CASP8,kept
ME,CCM2,kept
ME,CCM2L,kept
ME,CDH5,below_1pct (5/19288 cells)
ME,CDKN1A,kept
ME,CDKN1B,kept
ME,CDX2,below_1pct (5/19288 cells)
ME,CER1,below_1pct (1/19288 cells)
ME,CHD7,kept
ME,CITED2,kept
ME,COL3A1,below_1pct (5/19288 cells)
ME,COLEC10,below_1pct (54/19288 cells)
ME,CRB2,kept
ME,CRELD1,kept
ME,CRIP1,kept
ME,CSRP3,below_1pct (0/19288 cells)
ME,CXADR,kept
ME,DAND5,below_1pct (170/19288 cells)
ME,DNAAF4,kept
ME,DVL1,kept
ME,DVL2,kept
ME,DYNLL1,kept
ME,DZIP1,kept
ME,ECE1,kept
ME,EEF1AKMT4-ECE2,missing
ME,EOMES,below_1pct (116/19288 cells)
ME,EPHB4,kept
ME,ERBB3,kept
ME,ERBB4,kept
ME,ESM1,below_1pct (1/19288 cells)
ME,FBN1,kept
ME,FCN3,below_1pct (36/19288 cells)
ME,FGF12,kept
ME,FGF8,kept
ME,FKBP1A,kept
ME,FLRT2,kept
ME,FLRT3,kept
ME,FN1,kept
ME,FOXA1,below_1pct (2/19288 cells)
ME,FOXC1,below_1pct (185/19288 cells)
ME,FOXC2,below_1pct (20/19288 cells)
ME,FOXF1,below_1pct (1/19288 cells)
ME,FOXL1,below_1pct (2/19288 cells)
ME,GATA4,below_1pct (17/19288 cells)
ME,GATA5,kept
ME,GDF11,kept
ME,GJA1,kept
ME,GJA5,below_1pct (67/19288 cells)
ME,GLI2,kept
ME,GPC3,kept
ME,HAND1,kept
ME,HAND2,below_1pct (3/19288 cells)
ME,HCK,kept
ME,HDAC9,kept
ME,HEG1,kept
ME,HES7,below_1pct (40/19288 cells)
ME,HEY1,below_1pct (132/19288 cells)
ME,HMGA2,kept
ME,HOPX,below_1pct (101/19288 cells)
ME,HTR2B,below_1pct (65/19288 cells)
ME,ID2,kept
ME,IFT122,kept
ME,IKZF1,kept
ME,IKZF3,kept
ME,IL6ST,kept
ME,INSR,kept
ME,ISL1,kept
ME,ITGA2,kept
ME,ITGA3,kept
ME,ITGA8,below_1pct (23/19288 cells)
ME,ITGB1,kept
ME,ITGB3,below_1pct (42/19288 cells)
ME,ITGB4,kept
ME,JAK2,kept
ME,KAT2A,kept
ME,KAT2B,kept
ME,KDM6A,kept
ME,KDM6B,kept
ME,KLF5,kept
ME,LDB3,below_1pct (173/19288 cells)
ME,LEFTY1,below_1pct (34/19288 cells)
ME,MEF2A,kept
ME,MEF2C,kept
ME,MEF2D,kept
ME,MEGF8,kept
ME,MESD,kept
ME,MESP1,kept
ME,MESP2,kept
ME,MEST,kept
ME,MICAL2,kept
ME,MIXL1,below_1pct (181/19288 cells)
ME,MKKS,kept
ME,MMP23A,missing
ME,MSGN1,below_1pct (0/19288 cells)
ME,MTHFD1,kept
ME,MYBPC3,below_1pct (20/19288 cells)
ME,MYH6,below_1pct (36/19288 cells)
ME,MYH7,below_1pct (3/19288 cells)
ME,MYL2,below_1pct (5/19288 cells)
ME,MYL7,kept
ME,MYOCD,kept
ME,NCOA6,kept
ME,NDRG4,kept
ME,NDUFV2,kept
ME,NF1,kept
ME,NIPBL,kept
ME,NKX2-5,below_1pct (17/19288 cells)
